"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","diff"
"MCF.high",0.11,0.18,0.21,0.213978842198061,0.24,0.33,1.04661224020467
"MCF.low",0.1,0.14,0.16,0.167026153394064,0.19,0.26,0.81695748411763
"MCF.2",0.11,0.17,0.2,0.204449015574493,0.23,0.32,1
